iter	Logloss
2304	0.09399988642
2305	0.09397365155
2306	0.09395347278
2307	0.09393577748
2308	0.09392314301
2309	0.09390630391
2310	0.09388255124
2311	0.09386243365
2312	0.09384286718
2313	0.09382910087
2314	0.09381430285
2315	0.09378593764
2316	0.09376917461
2317	0.09375271317
2318	0.09372225175
2319	0.093692306
2320	0.09366390145
2321	0.09364141523
2322	0.09364125085
2323	0.09362320248
2324	0.0936154589
2325	0.09359247557
2326	0.09358505755
2327	0.09355345457
2328	0.09354428496
2329	0.0935161213
2330	0.09350000516
2331	0.09349622354
2332	0.09348669776
2333	0.09346570239
2334	0.09343278222
2335	0.09340368006
2336	0.0933828709
2337	0.09335597966
2338	0.09333566778
2339	0.09333566773
2340	0.09332023725
2341	0.09328416457
2342	0.09327574754
2343	0.0932577537
2344	0.09323810768
2345	0.09320882928
2346	0.09316540883
2347	0.09314141515
2348	0.09311745485
2349	0.0930837531
2350	0.09307760394
2351	0.09303951704
2352	0.09302169344
2353	0.09301114755
2354	0.09299859438
2355	0.0929767017
2356	0.09294925665
2357	0.09293112193
2358	0.09291829575
2359	0.09289186751
2360	0.09284980535
2361	0.09282684595
2362	0.0928168038
2363	0.09280644942
2364	0.09276173341
2365	0.09275558712
2366	0.09274533335
2367	0.09271290439
2368	0.09267760929
2369	0.09265333349
2370	0.09262682154
2371	0.09261634838
2372	0.0925934037
2373	0.09257412909
2374	0.09256211402
2375	0.09254727764
2376	0.09249980989
2377	0.09246705635
2378	0.09244660999
2379	0.09243155965
2380	0.09241687191
2381	0.0923933742
2382	0.09235040984
2383	0.09233178994
2384	0.0923091173
2385	0.09230180463
2386	0.09227828109
2387	0.09223905495
2388	0.09222432933
2389	0.09220761931
2390	0.0922057638
2391	0.0921685982
2392	0.09214706981
2393	0.09213019919
2394	0.09211784395
2395	0.09209170061
2396	0.0920684209
2397	0.09203787941
2398	0.09202667519
2399	0.09199588449
2400	0.0919931246
2401	0.09193450275
2402	0.09189195571
2403	0.09185587085
2404	0.09184494905
2405	0.09183899275
2406	0.09181620746
2407	0.09180398407
2408	0.09177037844
2409	0.09176581602
2410	0.09174107742
2411	0.09173024427
2412	0.09172817232
2413	0.09170065584
2414	0.09169271163
2415	0.09168301283
2416	0.09168144718
2417	0.09164980313
2418	0.09162118416
2419	0.09161152087
2420	0.09156887791
2421	0.09154304077
2422	0.09150991028
2423	0.09150644484
2424	0.09149091704
2425	0.09147544652
2426	0.09146195009
2427	0.09143161844
2428	0.09141326191
2429	0.09138446664
2430	0.0913661597
2431	0.09133829813
2432	0.09130933824
2433	0.09129162307
2434	0.09127259156
2435	0.0912670446
2436	0.09125991086
2437	0.09123739639
2438	0.09120524682
2439	0.09118773275
2440	0.09115334351
2441	0.09113637827
2442	0.09111414357
2443	0.09110871273
2444	0.09108968293
2445	0.09107543426
2446	0.09105051071
2447	0.09104388171
2448	0.09102961417
2449	0.09099119075
2450	0.09097322295
2451	0.09096366671
2452	0.09093816378
2453	0.09090846417
2454	0.09088586294
2455	0.09086103229
2456	0.09083522295
2457	0.09081207557
2458	0.09080748897
2459	0.09076547537
2460	0.09073824156
2461	0.09071468531
2462	0.09069854011
2463	0.0906496968
2464	0.09062946498
2465	0.09059633208
2466	0.09058356076
2467	0.09056871553
2468	0.09054303711
2469	0.09053528954
2470	0.0905167163
2471	0.09048857176
2472	0.09047038467
2473	0.09044403839
2474	0.09043121565
2475	0.09041697651
2476	0.09039414187
2477	0.09038375195
2478	0.09035340072
2479	0.09033842118
2480	0.0903134619
